Set,t,w,x,y,z
E1,0,0,3.29526,17.2044625,0
E1,3,0.021603611,2.82448625,16.06856375,0
E1,6,0.268809114,2.24057375,14.86535375,1.609256667
E1,9,0.835232158,0.8141325,11.22805875,4.457933333
E1,12,1.604793637,0,0,9.424533333
E1,15,1.673581255,0,0,10.51034
E1,18,1.755266552,0,0,9.50446
E1,21,0.450451419,0,0,9.306333333
E1,24,0.497742906,0,0,10.37438
E1,27,0.519239037,0,0,10.10527
E1,30,0.520313844,0,0,10.10430667
E2,0,0,4.001495,25.40987375,0
E2,3,0.03127687,3.78495375,23.9064,1.26453
E2,6,0.433254514,3.1780125,21.01251375,1.894613333
E2,9,1.173796217,2.413785,19.81919125,4.82135
E2,12,1.667132416,0,8.01649,10.54494667
E2,15,1.821904557,0,0,12.14096667
E2,18,0.481620808,0,0,13.36351667
E2,21,0.49344368,0,0,14.73195
E2,24,0.481620808,0,0,12.51101667
E2,27,0.438628547,0,0,12.90729667
E2,30,0.494518487,0,0,12.8459
E3,0,0,3.680275,23.0805475,0
E3,3,0,3.81298875,24.31078,0
E3,6,0.275257954,3.19555625,20.3129925,1.901973333
E3,9,1.14477644,2.45928,19.2028025,4.469393333
E3,12,1.613392089,0.97179,10.9363325,8.329566667
E3,15,1.834802236,0,0,13.01734
E3,18,0.492368874,0,0,13.24967
E3,21,0.499892519,0,0,12.54001333
E3,24,0.514939811,0,0,12.43489
E3,27,0.519239037,0,0,13.31011
E3,30,0.526762683,0,0,11.34496333
E4,0,0,6.37639125,42.95637625,0
E4,3,0,5.67716125,38.28240375,0
E4,6,0.172076526,4.61524625,38.88062,2.468116667
E4,9,0.780417025,3.37246625,31.150285,5.41775
E4,12,1.428525365,1.059975,19.6895525,13.35625
E4,15,1.788585555,0,0,23.36132
E4,18,0.671861565,0,0,22.92105333
E4,21,0.677235598,0,0,22.97716667
E4,24,0.705180567,0,0,24.66364
E4,27,0.703030954,0,0,23.52167667
E4,30,0.670786758,0,0,23.81398667
E5,0,0,4.794495,42.858695,0
E5,3,0,4.1561825,42.0148325,0
E5,6,0.247312984,3.879145,39.764855,0.44471
E5,9,0.752472055,3.943615,37.53176125,3.347133333
E5,12,1.504836629,2.312625,28.61670875,8.444576667
E5,15,1.893916595,0,3.71309375,19.69431667
E5,18,1.954105761,0,0,22.16709
E5,21,0.764294927,0,0,21.68709
E5,24,0.798688736,0,0,24.73042667
E5,27,0.800838349,0,0,24.27024667
E5,30,0.802987962,0,0,24.06690667
E6,0,0,6.03429375,42.51383,0
E6,3,0,5.088915,38.2619675,0
E6,6,0.227966466,3.65772375,42.12203375,0.735923333
E6,9,0.7105546,3.77565375,36.9547025,3.66514
E6,12,1.446797077,0,25.60327875,8.906623333
E6,15,1.943357696,0,6.35371875,20.15614667
E6,18,1.961629407,0,0,22.77923333
E6,21,0.793314703,0,0,20.72566333
E6,24,0.801913156,0,0,27.30433667
E6,27,0.805137575,0,0,25.91310333
E6,30,0.806212382,0,0,24.51564667
E7,0,0,6.35637125,41.85988125,0
E7,3,0.004406707,5.74053125,37.451955,0
E7,6,0.417132416,5.390675,38.83149,1.968543333
E7,9,1.218938091,3.083605,30.92847625,8.797736667
E7,12,1.786435942,0,18.08123125,12.67637333
E7,15,0.71377902,0,0,23.09101333
E7,18,0.744948409,0,0,23.03829667
E7,21,0.671861565,0,0,22.67244667
E7,24,0.801913156,0,0,23.98642333
E7,27,0.804062769,0,0,24.26603333
E7,30,0.804062769,0,0,23.94291
E8,0,0,6.0513725,68.8780475,0
E8,3,0,3.60448375,66.803495,0
E8,6,0.141981943,3.8663675,67.720125,0
E8,9,0.453675838,2.0866425,58.834855,3.93439
E8,12,0.896496131,1.12457125,53.96782125,9.35851
E8,15,1.481190886,0.98371375,28.62253125,16.79923667
E8,18,0.461199484,0,0.79350125,33.51631333
E8,21,0.57405417,0,0,36.56043667
E8,24,0.691208083,0,0,36.30883
E8,27,0.855653482,0,0,37.85321
E8,30,0.977106621,0,0,37.17577
E9,0,0,7.50902625,68.01975875,0
E9,3,0,7.20830625,69.97768125,0
E9,6,0.032351677,4.7973275,60.01666625,0
E9,9,0.287080825,3.38923375,63.483625,2.776443333
E9,12,0.895421324,2.4298425,60.47055625,4.0471
E9,15,1.504836629,0,46.85317625,9.85183
E9,18,1.87671969,0,33.4874675,20.48124
E9,21,0.87822442,0,0,31.49556
E9,24,0.971732588,0,0,33.65573
E9,27,0.90616939,0,0,34.36658667
E9,30,0.981405847,0,0,33.27103667
E10,0,0,6.1910675,78.825585,0
E10,3,0,5.8611225,77.6874775,2.543806667
E10,6,0.134458298,6.35988125,72.51304875,0.987193333
E10,9,0.714853826,4.88515375,73.21025875,3.434083333
E10,12,1.477966466,3.10876,65.6027275,10.65333667
E10,15,1.871345658,0.81191625,37.77367625,22.10014333
E10,18,1.040520206,0,5.8198225,37.29047667
E10,21,1.199591574,0,0,44.49235
E10,24,1.232910576,0,0,37.08142
E10,27,0.5461092,0,0,36.29522333
E10,30,0.631018917,0,0,41.61520667
